title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Slime Rancher,135999,"win, mac, linux",,"1 Aug, 2017","Action, Adventure, Indie, Simulation",no,Monomi Park,Monomi Park,"Single-player, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",94851,,81,Overwhelmingly Positive
Colony Survival,165999,"win, mac, linux",,"16 Jun, 2017","Action, Adventure, Indie, Strategy, Early Access",no,Pipliz,Pipliz,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats",6213,1.0,,Very Positive
The Baby In Yellow,82499,win,,"25 May, 2023","Adventure, Indie, Simulation, Early Access",no,Team Terrible,Team Terrible,Single-player,89,,,Very Positive
Last Holiday,245999,win,,"18 May, 2023","Adventure, Indie, Simulation, Early Access",no,Boomer Games s.r.o.,Boomer Games s.r.o.,"Single-player, Steam Achievements",234,30.0,,Mixed
Ghostwire: Tokyo,494900,win,,"24 Mar, 2022",Action,no,Tango Gameworks,Bethesda Softworks,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud",8066,26.0,78,Very Positive
MARVEL Puzzle Quest,0,win,,"5 Dec, 2013","Casual, Free to Play, RPG",no,Broken Circle Studios,Broken Circle Studios,"Single-player, Online PvP, Cross-Platform Multiplayer",4180,,,Mixed
Glory of war,0,win,,"16 Mar, 2023","Action, Adventure, Free to Play, Massively Multiplayer, RPG, Strategy",no,Glory of war,Glory of war,"Single-player, MMO, Online PvP, Online Co-op, In-App Purchases",137,1.0,,Mixed
Coffee Talk Episode 2: Hibiscus & Butterfly,99999,"win, mac",,"20 Apr, 2023","Adventure, Casual, Indie, Simulation",no,Toge Productions,Coffee Talk,"Single-player, Steam Achievements, Full controller support, Steam Cloud",503,,,Overwhelmingly Positive
Armello,0,"win, mac, linux",-50%,"1 Sep, 2015","Adventure, Indie, RPG, Strategy",no,League of Geeks,League of Geeks,"Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on TV",10314,4.0,75,Mostly Positive
Melvor Idle,90999,"win, mac, linux",,"18 Nov, 2021","Adventure, Casual, Indie, RPG",no,Games by Malcs,Jagex Ltd,"Single-player, Steam Achievements, Steam Trading Cards",8510,,,Very Positive
DSX,47499,win,,"24 Jun, 2022",Utilities,no,Paliverse,Paliverse,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Steam Leaderboards",822,,,Mixed
Armored Warfare,0,win,,"17 Nov, 2017","Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, Racing, Simulation, Strategy",no,"Obsidian Entertainment, Wishlist Games",Wishlist Games,"MMO, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases, Steam Turn Notifications",3820,40.0,,Mixed
MudRunner,169000,win,,"30 Oct, 2017",Simulation,no,Saber Interactive,Saber Interactive,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud",23936,1.0,,Very Positive
Fly Corp,82999,win,,"18 May, 2023","Indie, Simulation, Strategy",no,KishMish Games,KishMish Games,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Includes level editor",1548,0.3,,Mostly Positive
Aim Lab,0,win,,"7 Feb, 2018","Action, Adventure, Casual, Free to Play, Indie, Simulation, Early Access",no,Statespace,Statespace,"Single-player, Steam Achievements, Full controller support, Steam Workshop, Stats, Steam Leaderboards",88069,20.0,,Very Positive
"Warhammer 40,000: Inquisitor - Prophecy",0,win,-80%,"30 Jul, 2019","Action, Adventure, Indie, RPG",no,NeocoreGames,NeocoreGames,"Single-player, Online PvP, Online Co-op, Full controller support",2237,30.0,,Mixed
The Mortuary Assistant,119999,win,,"2 Aug, 2022","Adventure, Indie, Simulation",no,DarkStone Digital,DreadXP,"Single-player, Steam Achievements, Full controller support, Steam Cloud",3725,,,Very Positive
Counter-Strike: Source,90999,"win, mac, linux",,"1 Nov, 2004",Action,no,Valve,Valve,"Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK",103305,,88,Overwhelmingly Positive
Sherlock Holmes: Crimes and Punishments,0,win,-80%,"29 Sep, 2014",Adventure,no,Frogwares,Sherlock Holmes,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",5299,,77,Very Positive
