title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Tavern Master,95999,linux,,"16 Nov, 2021",Action,no,Fatshark,WhisperGames,Steam Trading Cards,5537,,,Very Positive
Strange Horticulture,130999,win,,"21 Jan, 2022",Casual,no,Tribute Games Inc.,Iceberg Interactive,Steam Workshop,6676,,83,Very Positive
GRIME,0,win,-33%,"2 Aug, 2021",Racing,no,"Spike Chunsoft Co., Ltd.",Akupara Games,Single-player,3007,,81,Very Positive
Galactic Civilizations IV: Supernova,299999,win,,"27 Apr, 2023",Sports,no,Untitled Studio,Stardock Entertainment,Steam Achievements,119,22.0,,Mostly Positive
DJMAX RESPECT V - So Happy Gear Pack,0,win,-80%,"23 Sep, 2020",Action,yes,Bad Viking,NEOWIZ,Steam Trading Cards,114,,,Very Positive
Motor Town: Behind The Wheel,165999,win,,"17 Dec, 2021",Adventure,no,Clover Bite,P3 Games,Steam Workshop,2480,5.0,,Very Positive
Stay Out,0,win,,"27 Nov, 2019",Indie,no,Stardock Entertainment,MOBITECH LLC,Steam Cloud,16481,,,Mostly Positive
Planet Zoo: Grasslands Animal Pack,162206,win,,"13 Dec, 2022",RPG,yes,NEOWIZ,Frontier Developments,Stats,49,16.0,,Positive
Neverwinter Nights: Enhanced Edition,165999,win,,"27 Mar, 2018",Early Access,no,P3 Games,Beamdog,Steam Leaderboards,5860,,,Very Positive
XCOM 2: War of the Chosen,370000,win,,"3 Dec, 2018",Adventure,yes,MOBITECH LLC,Feral Interactive (Linux),Includes level editor,3297,70.0,88,Very Positive
House Flipper - Garden DLC,130999,win,,"16 May, 2019",Simulation,yes,Frontier Developments,PlayWay S.A.,Remote Play on Tablet,754,8.0,,Mixed
Kuroinu Redux,165999,win,,"18 May, 2023",Sports,no,Beamdog,Shiravune,Single-player,168,5.0,,Mostly Positive
I Am Fish,0,linux,-70%,"16 Sep, 2021",Action,no,Firaxis Games,Curve Games,Steam Achievements,1173,12.0,,Mostly Positive
Golf Gang,0,win,-70%,"19 May, 2022",Casual,no,Feral Interactive (Mac),Curve Games,Tracked Controller Support,602,2.0,,Very Positive
RIDE 4,499000,win,,"8 Oct, 2020",Free to Play,no,Feral Interactive (Linux),Milestone S.r.l.,VR Only,6709,43.0,,Very Positive
Steel Division 2 - Tribute to D-Day Pack,0,mac,-77%,"5 Jun, 2020",Massively Multiplayer,yes,Empyrean,Eugen Systems,Captions available,77,,,Mixed
Spelunky 2,108999,linux,,"29 Sep, 2020",Indie,no,Liquid,BlitWorks,Single-player,15338,,91,Very Positive
Zero Caliber VR,0,win,-30%,"9 Nov, 2018",Action,no,Bossa Studios,XREAL Games,Online Co-op,3308,20.0,,Very Positive
ORX,0,mac,-30%,"30 Aug, 2022",Indie,no,Lazy Monday Games,CRITICAL REFLEX,Shared/Split Screen Co-op,454,,,Mostly Positive
Root,95999,win,,"24 Sep, 2020",Casual,no,Milestone S.r.l.,Dire Wolf,Steam Achievements,2583,1.0,,Mostly Positive
Labyrinthine,69999,mac,,"28 Oct, 2020",Simulation,no,Eugen Systems,Valko Game Studios,Full controller support,7951,25.0,,Very Positive
SubwaySim Hamburg,284999,win,,"16 May, 2023",Action,no,Mossmouth,HR Innoways,Steam Trading Cards,160,10.0,,Mixed
Tetris® Effect: Connected,169999,win,,"17 Aug, 2021",Strategy,no,BlitWorks,Stage Games,Steam Workshop,5036,5.0,93,Very Positive
Knights of Honor II: Sovereign,399000,win,,"6 Dec, 2022",RPG,no,XREAL Games,THQ Nordic,Steam Cloud,2405,14.0,76,Very Positive
"The Official GamingTaylor Game, Great Job!",6909909,win,,"6 Jul, 2018",Simulation,no,johnbell,Taylor Marsh,Includes level editor,5,,,5 user reviews
STASIS,0,win,-50%,"31 Aug, 2015",Strategy,no,Dire Wolf,THE BROTHERHOOD,Remote Play on Phone,1210,5.0,79,Mostly Positive
In Silence,0,win,-30%,"29 Oct, 2021",Indie,no,Valko Game Studios,Ravenhood Games,Remote Play on TV,8722,4.0,,Mixed
Grim Dawn - Ashes of Malmouth Expansion,104999,mac,,"11 Oct, 2017",Strategy,yes,HR Innoways,RPG,Remote Play Together,1273,,,Very Positive
Imperator: Rome,169999,linux,,"25 Apr, 2019",Adventure,no,Monstars Inc.,Paradox Interactive,Single-player,16464,,76,Very Positive
MADNESS: Project Nexus,119999,win,,"29 Sep, 2021",Action,no,Resonair,"GIBBING TREE, LLC",Steam Trading Cards,10877,,,Overwhelmingly Positive
Darkest Dungeon®: The Crimson Court,90999,mac,,"19 Jun, 2017",Adventure,yes,Stage Games,Red Hook Studios,Single-player,1720,1.0,82,Mostly Positive
Assetto Corsa Competizione - American Track Pack,229000,linux,,"30 Jun, 2022",Indie,yes,Black Sea Games,505 Games,Steam Achievements,76,50.0,,Mostly Positive
Fisher Online,95999,win,,"27 Oct, 2019",RPG,no,Taylor Marsh,R-Age,Full controller support,2718,4.0,,Very Positive
