title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
"Warhammer 40,000: Gladius - Fortification Pack",0,win,-45%,"17 Oct, 2019",Indie,yes,NEOWIZ,Warhammer,Single-player,32,8.0,,Mostly Positive
NBA 2K22,659000,mac,,"9 Sep, 2021",Action,no,"KOEI TECMO GAMES CO., LTD.",2K,Single-player,29497,110.0,,Mixed
Contractors,108999,win,,"14 Dec, 2018",Adventure,no,Techland,Caveman Studio,Online PvP,2959,,,Very Positive
Disney Speedstorm,0,win,,"18 Apr, 2023",Strategy,no,Game-Labs,Gameloft,Shared/Split Screen PvP,629,40.0,,Mixed
Turing Complete,108999,mac,,"2 Oct, 2021",Indie,no,Deck13,LevelHead,Online Co-op,1461,,,Very Positive
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,299999,win,,"21 Mar, 2023",Simulation,no,Vaulted Sky Games,Skydance Interactive,Shared/Split Screen Co-op,648,60.0,,Mostly Positive
The Last Spell,206999,win,,"9 Mar, 2023",Racing,no,Cogwheel Software,The Arcade Crew,Cross-Platform Multiplayer,8087,2.0,,Very Positive
Partisans 1941,0,win,-85%,"14 Oct, 2020",Simulation,no,Colossal Order Ltd.,Daedalic Entertainment,Steam Achievements,5662,10.0,,Very Positive
Pharaoh: A New Era,190400,win,,"15 Feb, 2023",Indie,no,"Elder Game, LLC",Dotemu,Full controller support,2562,8.0,,Very Positive
Sid Meier's Civilization V: Brave New World,199999,mac,,"8 Jul, 2013",Simulation,yes,Maxis,Aspyr (Linux),Tracked Controller Support,1202,,,Very Positive
"Warhammer 40,000: Battlesector - Necrons",0,win,-40%,"21 Apr, 2022",Strategy,yes,Keen Software House,Slitherine Ltd.,VR Supported,113,,,Mixed
The Sims™ 4 Discover University,479000,win,,"18 Jun, 2020",Casual,yes,BetaDwarf,Electronic Arts,Steam Cloud,120,18.0,,Mixed
Spellcaster University,119999,win,,"15 Jun, 2021",Free to Play,no,M2H,Sneaky Yak Studio,Steam Leaderboards,2661,,73,Mostly Positive
Humanity,245999,win,,"15 May, 2023",Indie,no,BlackMill Games,tha ltd.,Remote Play Together,130,8.0,,Very Positive
Steel Division 2 - Blood Feud in Transylvania,0,win,-33%,"19 Jan, 2023",Casual,yes,Expansive Worlds,Eugen Systems,Single-player,55,,,Mixed
SCUM Luis Moncada character pack,130999,win,,"11 May, 2023",Simulation,yes,Robotality,Jagex Ltd.,Online PvP,24,,,Mostly Positive
Five Nights at Freddy's 3,59999,win,,"2 Mar, 2015",Simulation,no,SEGA,Scott Cawthon,Online Co-op,7278,,68,Very Positive
Deadside Supporter Pack,0,win,-40%,"14 Apr, 2020",Strategy,yes,TOKYOTOON,Bad Pixel,Steam Achievements,341,20.0,,Very Positive
Victoria 3: Sphere of Influence,0,win,,March 2024,Casual,yes,Colossal Order Ltd.,Paradox Interactive,Steam Trading Cards,4,10.0,,4 user reviews
Pathfinder: Wrath of the Righteous - Commander Pack,207777,win,,"2 Sep, 2021",Indie,yes,UNDEAD BATTERY,META Publishing,Steam Cloud,27,50.0,,Mostly Positive
Two Point Campus,359999,win,,"9 Aug, 2022",Racing,no,Dead Unicorn,SEGA,Single-player,2061,6.0,83,Very Positive
RealFlight Evolution,1062900,win,,"27 Oct, 2022",Simulation,no,MyDockFinder,"Horizon Hobby, LLC",Steam Achievements,141,12.0,,Mostly Positive
Gems of War - Puzzle RPG,0,win,,"20 Nov, 2014",Action,no,"HYDE, Inc.",505 Games,Profile Features Limited,9197,1.0,,Mostly Positive
Lawn Mowing Simulator,0,mac,-66%,"10 Aug, 2021",Adventure,no,South East Games,Curve Games,Single-player,1409,20.0,,Mostly Positive
DRAGON BALL: THE BREAKERS,199000,win,,"13 Oct, 2022",Action,no,Valve,Bandai Namco Entertainment,Steam Achievements,3103,10.0,,Mixed
Fallout 3: Game of the Year Edition,164900,win,,"17 Dec, 2009",RPG,no,Mohawk Games,Bethesda Softworks,Steam Trading Cards,31528,,91,Very Positive
SD GUNDAM BATTLE ALLIANCE,699000,mac,,"24 Aug, 2022",Action,no,Cyanide Studios,Bandai Namco Entertainment,Captions available,4208,25.0,71,Mixed
Predecessor,0,linux,,"30 Nov, 2022",Adventure,no,Blue Mammoth Games,Omeda Studios,Single-player,5251,20.0,,Mostly Positive
Steel Division 2 - Tribute to the Liberation of Italy,0,win,-50%,"2 Feb, 2022",Action,yes,Gotcha Gotcha Games,Eugen Systems,Online PvP,130,1.0,,Mixed
Thriving City: Song,159999,win,,"21 Apr, 2023",Adventure,no,KADOKAWA,IndieArk,Online Co-op,1251,5.0,,Very Positive
"Warhammer 40,000: Gladius - Reinforcement Pack",0,mac,-45%,"19 Oct, 2018",Racing,yes,Yoji Ojima,Warhammer,Cross-Platform Multiplayer,43,4.0,,Mostly Positive
"Gunner, HEAT, PC!",139999,win,,"6 Sep, 2022",Action,no,"CAPCOM Co., Ltd.",Radian Simulations LLC,Steam Achievements,2181,12.0,,Very Positive
Wartune Reborn,0,mac,,"26 Feb, 2021",Adventure,no,Lazy Bear Games,7Road,Steam Leaderboards,182,0.1,,Mixed
The Ranch of Rivershine,139999,linux,,"12 May, 2023",Free to Play,no,Dodge Roll,Cozy Bee Games,Single-player,151,,,Very Positive
The Case of the Golden Idol,104999,win,,"13 Oct, 2022",Massively Multiplayer,no,Dracma Studios,Playstack,Online Co-op,3382,0.3,,Overwhelmingly Positive
BioShock™,0,mac,,"21 Aug, 2007",Strategy,no,Euphoric Brothers,2K,LAN Co-op,22383,,96,Very Positive
SONG OF HORROR COMPLETE EDITION,0,linux,-60%,"31 Oct, 2019",Indie,no,Altfuture,Protocol Games,Downloadable Content,1464,25.0,,Mixed
Trine 2: Complete Story,0,win,-75%,"6 Jun, 2013",Simulation,no,Uuvana Studios,Frozenbyte,Steam Achievements,14291,,84,Very Positive
Stellaris: Utopia,176799,win,,"6 Apr, 2017",Early Access,yes,1939 Games,Paradox Interactive,Full controller support,1152,10.0,82,Very Positive
Eco,245999,win,,"6 Feb, 2018",Casual,no,Chimeric,Strange Loop Games,Steam Trading Cards,8791,8.0,,Very Positive
ACE COMBAT™ 7: SKIES UNKNOWN,550000,mac,,"31 Jan, 2019",Free to Play,no,SCS Software,Bandai Namco Entertainment,Steam Cloud,27430,50.0,78,Very Positive
Cities: Skylines - Green Cities,128999,linux,,"19 Oct, 2017",Indie,yes,Frozen Way,Paradox Interactive,Single-player,450,4.0,,Very Positive
Marvel's Guardians of the Galaxy,879000,win,,"26 Oct, 2021",Strategy,no,Empyrean,Eidos-Montréal,Online PvP,21495,80.0,,Very Positive
Viscera Cleanup Detail,109999,win,,"23 Oct, 2015",Action,no,Paradox Development Studio,RuneStorm,Steam Achievements,13699,5.0,,Overwhelmingly Positive
RISK: Global Domination,0,win,,"19 Feb, 2020",Indie,no,"Studio Hatch Co., Ltd.",SMG Studio,Steam Trading Cards,31265,,,Mostly Positive
Street Fighter V,288999,win,,"15 Feb, 2016",Simulation,no,Bouncyrock Entertainment,"CAPCOM Co., Ltd.",Steam Workshop,26102,,89,Very Positive
SpiderHeck,0,win,-35%,"22 Sep, 2022",Sports,no,Maxis,tinyBuild,Steam Cloud,1459,,,Very Positive
SPORE™,239000,mac,,"19 Dec, 2008",Action,no,Lavaboots Studios,Maxis™,Single-player,47070,,84,Very Positive
Sid Meier's Civilization® VI: Nubia Civilization & Scenario Pack,0,linux,,"27 Jul, 2017",Adventure,yes,2Dynamic Games,Aspyr (Linux),Shared/Split Screen Co-op,333,12.0,,Mostly Negative
Apex Point,106999,win,,"4 Mar, 2023",Indie,no,NetEase Games,Apex Studio,Steam Achievements,942,15.0,,Very Positive
The Jackbox Party Pack 2,0,win,-55%,"13 Oct, 2015",RPG,no,Snoozy Kazoo,"Jackbox Games, Inc.",Steam Trading Cards,1234,,,Very Positive
Stellaris: Nemesis,165999,mac,,"15 Apr, 2021",Adventure,yes,"Formirai Co., Ltd.",Paradox Interactive,Steam Cloud,1494,10.0,,Mixed
The Escapists 2,159000,win,,"21 Aug, 2017",Free to Play,no,Proxy Studios,Team17,Remote Play Together,20849,4.0,75,Very Positive
Shieldwall,185000,win,,"18 Apr, 2023",Massively Multiplayer,no,Visual Concepts,Nezon Production,Single-player,4792,8.0,,Very Positive
F1® 22,659000,win,,"30 Jun, 2022",RPG,no,Caveman Studio,Electronic Arts,Downloadable Content,19014,80.0,81,Mixed
EverQuest II,0,win,,"7 Dec, 2011",Strategy,no,Gameloft,Darkpaw Games,Steam Achievements,2238,,83,Very Positive
RaceRoom Racing Experience,0,win,,"12 Feb, 2013",Adventure,no,LevelHead,KW Studios,Steam Workshop,18755,,,Very Positive
Surviving Mars,139999,win,,"15 Mar, 2018",Simulation,no,Skydance Interactive,Paradox Interactive,Partial Controller Support,14368,6.0,76,Very Positive
No One Survived,145999,mac,,"14 Jan, 2023",Sports,no,Ishtar Games,Cat Play Studio,Steam Cloud,3157,30.0,,Mixed
GUNDAM EVOLUTION,0,win,,"19 Sep, 2022",Action,no,Alter Games,BANDAI NAMCO Online Inc.,Single-player,19501,40.0,,Mixed
Planet Zoo: Tropical Pack,162206,mac,,"4 Apr, 2023",Free to Play,yes,Triskell Interactive,Frontier Developments,Online PvP,45,16.0,,Positive
FOREWARNED,0,linux,-25%,"10 Sep, 2021",Massively Multiplayer,no,Firaxis Games,Dreambyte Games,LAN PvP,3632,10.0,,Very Positive
Cities: Skylines - Natural Disasters,148999,win,,"29 Nov, 2016",RPG,yes,Aspyr (Mac),Paradox Interactive,Downloadable Content,888,4.0,80,Mostly Positive
Far Cry® 5,619000,win,,"26 Mar, 2018",Action,no,Aspyr (Linux),Ubisoft,Partial Controller Support,126203,40.0,,Very Positive
Tribes of Midgard,135999,mac,,"27 Jul, 2021",Adventure,no,Black Lab Games,Norsfell,MMO,13162,8.0,,Very Positive
Trombone Champ,95999,linux,,"15 Sep, 2022",Casual,no,Maxis,Holy Wow Studios LLC,Steam Workshop,6238,,82,Overwhelmingly Positive
Assassin's Creed® Unity,309000,win,,"12 Nov, 2014",Indie,no,Sneaky Yak Studio,Ubisoft,In-App Purchases,50326,50.0,,Mostly Positive
Dōkyūsei: Bangin' Summer,0,mac,-45%,"14 Apr, 2022",Racing,no,tha ltd.,Shiravune,Partial Controller Support,1218,,,Very Positive
Total War: MEDIEVAL II – Definitive Edition,225999,win,,"27 Nov, 2007",Simulation,no,Eugen Systems,Feral Interactive (Linux),Single-player,20601,,,Overwhelmingly Positive
A Way Out,379000,mac,,"18 Jun, 2020",Adventure,no,Gamepires,Electronic Arts,Online PvP,29183,25.0,78,Very Positive
THE KING OF FIGHTERS XV,829000,linux,,"16 Feb, 2022",Indie,no,Scott Cawthon,SNK CORPORATION,Online Co-op,5408,65.0,85,Very Positive
Dome Keeper,152999,win,,"27 Sep, 2022",Simulation,no,Bad Pixel,Raw Fury,Shared/Split Screen Co-op,6229,,,Very Positive
Five Nights at Freddy's: Sister Location,59999,mac,,"7 Oct, 2016",Strategy,no,Paradox Development Studio,Scott Cawthon,Steam Achievements,8860,2.0,62,Very Positive
The Sims™ 4 Werewolves Game Pack,239000,linux,,"16 Jun, 2022",Adventure,yes,Owlcat Games,Electronic Arts,Full controller support,158,18.0,,Mostly Positive
Hello Neighbor 2,0,win,-35%,"6 Dec, 2022",Indie,no,Two Point Studios,Hello Neighbor,Steam Trading Cards,1322,20.0,,Very Positive
Dorfromantik,89999,mac,,"28 Apr, 2022",Simulation,no,"Horizon Hobby, LLC",Toukana Interactive,Steam Cloud,21191,0.65,,Very Positive
DJMAX RESPECT V - CHUNITHM PACK,0,linux,-80%,"9 Dec, 2020",Strategy,yes,Infinity Plus 2,NEOWIZ,Steam Leaderboards,179,,,Very Positive
Chained Echoes,119999,win,,"8 Dec, 2022",Action,no,Skyhook Games,Deck13 Spotlight,Remote Play Together,3310,0.9,91,Very Positive
The Past Within,56499,mac,,"2 Nov, 2022",Adventure,no,Dimps Corporation,Rusty Lake,Single-player,9115,,,Overwhelmingly Positive
We Were Here Together,114999,linux,,"10 Oct, 2019",RPG,no,Bethesda Game Studios,Total Mayhem Games,Online PvP,8844,20.0,77,Very Positive
ShellShock Live,90999,win,,"22 May, 2020",Action,no,ARTDINK,kChamp Games,Partial Controller Support,26838,,,Very Positive
Door Kickers 2: Task Force North,206999,win,,"3 Nov, 2020",Action,no,Omeda Studios,KillHouse Games,Steam Cloud,6070,1.0,,Overwhelmingly Positive
NosTale - Anime MMORPG,0,win,,"18 Sep, 2017",Adventure,no,Eugen Systems,"Entwell Co., Ltd.",Single-player,2821,8.0,,Mostly Positive
Sniper Ghost Warrior Contracts 2,299999,win,,"4 Jun, 2021",Casual,no,White Star Studio,CI Games,Steam Achievements,6670,20.0,,Very Positive
We Who Are About To Die,179999,mac,,"14 Nov, 2022",Indie,no,Proxy Studios,Jordy Lakiere,Full controller support,3867,6.0,,Very Positive
World of Tanks Blitz - Warhammer Skulls Pack 2023,0,linux,-75%,"25 May, 2023",RPG,yes,Radian Simulations LLC,Massively Multiplayer,Steam Cloud,19,,,Positive
Obscure II (Obscure: The Aftermath),0,win,-66%,"10 Mar, 2014",Simulation,no,7Road,Hydravision Entertainment,Remote Play on Phone,878,3.0,59,Mixed
CRISIS CORE –FINAL FANTASY VII– REUNION,649000,win,,"13 Dec, 2022",Simulation,no,Cozy Bee Games,Square Enix,Remote Play on Tablet,3065,30.0,,Very Positive
"Warhammer 40,000: Mechanicus - Heretek",0,win,-60%,"23 Jul, 2019",Strategy,yes,Color Gray Games,Kasedo Games,Remote Play on TV,141,8.0,73,Mixed
Super Mecha Champions,0,mac,,"25 Mar, 2021",Simulation,no,2K Boston,NetEase Games,Single-player,7639,6.0,,Mixed
Celeste,135999,linux,,"25 Jan, 2018",Action,no,2K Australia,"Extremely OK Games, Ltd.",Downloadable Content,66825,,88,Overwhelmingly Positive
X4: Kingdom End,130999,win,,"12 Apr, 2023",Indie,yes,Protocol Games,Egosoft,Steam Achievements,259,20.0,,Mostly Negative
Rival Stars Horse Racing: Desktop Edition,199000,win,,"24 Jun, 2020",Massively Multiplayer,no,Frozenbyte,PikPok,Steam Trading Cards,2433,3.0,,Very Positive
Sid Meier's Civilization® VI: Portugal Pack,78000,mac,,"25 Mar, 2021",RPG,yes,Paradox Development Studio,2K,Steam Workshop,113,0.023,,Mixed
Backpack Hero,102999,win,,"15 Aug, 2022",Simulation,no,Strange Loop Games,IndieArk,Partial Controller Support,2946,,,Very Positive
Kerbal Space Program: Making History Expansion,0,mac,-50%,"13 Mar, 2018",Early Access,yes,Bandai Namco Studios Inc.,Private Division,Steam Cloud,608,,,Mixed
Going Medieval,206999,linux,,"1 Jun, 2021",Free to Play,no,Colossal Order Ltd.,The Irregular Corporation,Includes level editor,11698,2.0,,Very Positive
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,335999,win,,"13 May, 2014",Massively Multiplayer,no,Eidos-Montréal,"KOEI TECMO GAMES CO., LTD.",Single-player,9986,18.0,71,Very Positive
Noita,108999,mac,,"15 Oct, 2020",Simulation,no,RuneStorm,Nolla Games,Downloadable Content,49103,2.5,,Very Positive
Pan'orama,122999,linux,,"9 May, 2023",Sports,no,SMG Studio,Awaken Realms,Steam Achievements,279,,,Very Positive
Frozen Flame,0,win,-20%,"17 Nov, 2022",Simulation,no,"CAPCOM Co., Ltd.",2P Games,Steam Trading Cards,1907,10.0,,Mixed
Call of Duty®: Modern Warfare® 2 (2009),124756,win,,"11 Nov, 2009",Indie,no,Neverjam,Call of Duty,Steam Workshop,27919,,86,Very Positive
Age of Wonders: Planetfall,209999,win,,"6 Aug, 2019",Simulation,no,Maxis™,Paradox Interactive,Partial Controller Support,4187,20.0,81,Mostly Positive
RUNNING WITH RIFLES,0,win,-75%,"2 Apr, 2015",Strategy,no,Firaxis Games,Osumia Games,Steam Cloud,12460,,78,Mostly Positive
Force of Nature 2: Ghost Keeper,0,win,-30%,"27 May, 2021",Simulation,no,Aspyr (Mac),Crytivo,Includes level editor,1505,2.0,,Very Positive
Euro Truck Simulator 2 - Road to the Black Sea,149900,win,,"5 Dec, 2019",Strategy,yes,Aspyr (Linux),SCS Software,Remote Play on Tablet,2725,,,Mixed
Metro Exodus,352471,win,,"14 Feb, 2020",Action,no,Apex Studio,Deep Silver,Single-player,77309,59.0,85,Very Positive
Call of Juarez: Gunslinger,0,win,-80%,"22 May, 2013",Casual,no,"Jackbox Games, Inc.",Techland Publishing,Online PvP,14286,,79,Very Positive
Automation - The Car Company Tycoon Game,139999,win,,"12 Mar, 2015",Racing,no,Paradox Development Studio,Camshaft Software Ltd,Online Co-op,8963,30.0,,Very Positive
The Crew™ 2,515000,mac,,"28 Jun, 2018",Sports,no,Team17,Ivory Tower,Steam Achievements,55218,,,Very Positive
MONOPOLY® PLUS,149000,linux,,"7 Sep, 2017",Action,no,Mouldy Toof Studios,Ubisoft Pune,Includes level editor,10907,2.0,,Mixed
Mon Bazou,139999,win,,"16 Dec, 2021",Indie,no,Nezon Production,Santa Goat,Single-player,8057,1.0,,Overwhelmingly Positive
Watch_Dogs® 2,619000,win,,"28 Nov, 2016",Simulation,no,Codemasters,Ubisoft,Downloadable Content,57193,27.0,,Mostly Positive
Red Dead Online,279000,mac,,"1 Dec, 2020",Strategy,no,Darkpaw Games,Rockstar Games,Steam Achievements,47181,150.0,,Very Positive
Cartel Tycoon,0,linux,-40%,"26 Jul, 2022",Adventure,no,KW Studios,tinyBuild,Steam Trading Cards,2036,5.0,,Mostly Positive
STALCRAFT,0,win,,"9 Dec, 2022",Indie,no,Haemimont Games,EXBO,Steam Workshop,17787,20.0,,Mostly Positive
BATTLETECH,169999,win,,"24 Apr, 2018",Simulation,no,Abstraction,Harebrained Schemes,Partial Controller Support,19166,35.0,78,Very Positive
CarX Drift Racing Online - Season Pass,119999,mac,,"14 Feb, 2021",Strategy,yes,Cat Play Studio,"CarX Technologies, LLC",Steam Cloud,118,4.0,,Mixed
Warhammer: Vermintide 2 - Shadows Over Bögenhafen,0,linux,-50%,"28 Aug, 2018",Casual,yes,BANDAI NAMCO Online Inc.,Warhammer,Includes level editor,754,45.0,,Mixed
Wasteland 3,169999,win,,"27 Aug, 2020",Simulation,no,Frontier Developments,inXile Entertainment,Single-player,13661,45.0,85,Very Positive
Barony,95999,win,,"23 Jun, 2015",Adventure,no,Dreambyte Games,Turning Wheel LLC,Steam Achievements,3335,0.8,,Very Positive
Kerbal Space Program: Breaking Ground Expansion,0,win,-50%,"30 May, 2019",Indie,yes,Colossal Order Ltd.,Private Division,Full controller support,391,,,Mostly Positive
DJMAX RESPECT V - ESTIMATE PACK,0,mac,-80%,"21 Jul, 2021",Action,yes,Ubisoft Montreal,NEOWIZ,Steam Trading Cards,203,45.0,,Very Positive
Portal,90999,linux,,"10 Oct, 2007",Adventure,no,Red Storm,Valve,Steam Cloud,111261,,90,Overwhelmingly Positive
Tales of Arise,589000,win,,"9 Sep, 2021",Free to Play,no,Ubisoft Shanghai,BANDAI NAMCO Entertainment,Stats,22127,45.0,84,Very Positive
Unturned,0,win,,"7 Jul, 2017",Simulation,no,Ubisoft Toronto,Smartly Dressed Games,Steam Leaderboards,512735,6.0,,Very Positive
Draw & Guess,28999,win,,"12 Mar, 2021",Sports,no,Ubisoft Kiev,Acureus,Single-player,25941,0.512,,Very Positive
Euro Truck Simulator 2 - Beyond the Baltic Sea,149900,mac,,"29 Nov, 2018",Simulation,yes,Norsfell,SCS Software,Steam Achievements,2199,,,Very Positive
SCP: 5K,165999,linux,,"22 Feb, 2022",Strategy,no,Holy Wow Studios LLC,SCP.GAMES,Steam Trading Cards,3131,80.0,,Very Positive
The Elder Scrolls IV: Oblivion® Game of the Year Edition,135999,win,,"16 Jun, 2009",Casual,no,Ubisoft,Bethesda Softworks,Partial Controller Support,32775,,94,Overwhelmingly Positive
Sid Meier's Civilization® VI: Ethiopia Pack,78000,win,,"23 Jul, 2020",Indie,yes,Elf,2K,Steam Cloud,99,23.0,,Mixed
"Warhammer 40,000: Gladius - Assault Pack",0,win,-40%,"28 May, 2020",RPG,yes,Shiravune,Warhammer,Remote Play on Phone,38,2.0,,Positive
Who's Your Daddy?!,90999,win,,"13 May, 2016",Simulation,no,CREATIVE ASSEMBLY,Evil Tortilla Games,Remote Play on Tablet,21571,,,Very Positive
JoJo's Bizarre Adventure: All-Star Battle R,499000,win,,"1 Sep, 2022",Action,no,Feral Interactive (Mac),Bandai Namco Entertainment,Online PvP,5146,6.0,,Very Positive
Persona 4 Golden,260000,win,,"13 Jun, 2020",Indie,no,Feral Interactive (Linux),SEGA,In-App Purchases,54653,14.0,87,Overwhelmingly Positive
Temtem,336000,win,,"6 Sep, 2022",Early Access,no,Hazelight,Humble Games,Single-player,29962,5.0,79,Mixed
Warhammer: Vermintide 2 - Back to Ubersreik,0,win,-50%,"10 Dec, 2018",Action,yes,SNK CORPORATION,Warhammer,Steam Achievements,564,0.045,,Mostly Positive
Farm Together,165999,win,,"11 Oct, 2018",Adventure,no,Bippinbits,Milkstone Studios,Steam Trading Cards,15705,1.0,,Overwhelmingly Positive
Outpost,37999,mac,,"11 May, 2023",Action,no,Scott Cawthon,BananaDogGames,Partial Controller Support,27,,,Positive
Left 4 Dead,90999,linux,,"17 Nov, 2008",Adventure,no,Maxis,Valve,Steam Cloud,39581,,89,Very Positive
Have a Nice Death,249999,win,,"22 Mar, 2023",Indie,no,Eerie Guest,Magic Design Studios,Single-player,6871,,81,Very Positive
CONFLICT OF NATIONS: WORLD WAR 3,0,mac,,"15 Mar, 2018",Strategy,no,tinyBuild,Dorado Games,Steam Achievements,3465,0.512,,Very Positive
Lobotomy Corporation | Monster Management Simulation,119999,linux,,"9 Apr, 2018",Action,no,Toukana Interactive,ProjectMoon,Steam Trading Cards,23385,,,Very Positive
Sid Meier's Civilization® VI: Vikings Scenario Pack,0,win,,"20 Dec, 2016",Free to Play,yes,NEOWIZ,Aspyr (Linux),Steam Cloud,1195,12.0,,Overwhelmingly Negative
BIGFOOT,165999,win,,"31 Jan, 2017",Action,no,Matthias Linda,CyberLight Game Studio,Single-player,12676,10.0,,Very Positive
Feed and Grow: Fish,115999,win,,"8 Jan, 2016",RPG,no,Rusty Lake,Old B1ood,Online PvP,12370,2.0,,Mostly Positive
"Hot Dogs, Horseshoes & Hand Grenades",135999,mac,,"5 Apr, 2016",Adventure,no,Total Mayhem Games,RUST LTD.,Downloadable Content,17243,20.0,,Overwhelmingly Positive
MX vs ATV Legends,372000,win,,"28 Jun, 2022",Free to Play,no,kChamp Games,THQ Nordic,Partial Controller Support,752,35.0,,Mostly Positive
Black Mesa,108999,linux,,"6 Mar, 2020",Strategy,no,KillHouse Games,Crowbar Collective,Single-player,90005,20.0,84,Very Positive
Friday the 13th: The Game,95999,win,,"25 May, 2017",RPG,no,"Entwell Co., Ltd.",IllFonic,Online PvP,61279,4.0,61,Very Positive
Brick Rigs,159999,win,,"7 Nov, 2016",Casual,no,Underdog Studio,Fluppisoft,Shared/Split Screen PvP,29906,,,Overwhelmingly Positive
Sid Meier's Civilization® VI: Babylon Pack,78000,mac,,"19 Nov, 2020",Free to Play,yes,Jordy Lakiere,2K,Steam Achievements,115,23.0,,Mixed
Terra Nil,206999,linux,,"28 Mar, 2023",Massively Multiplayer,no,Wargaming Group Limited,Devolver Digital,Full controller support,2854,2.0,,Very Positive
Erophone:Re,0,win,-25%,"26 May, 2023",Simulation,no,Hydravision Entertainment,CreamCatGame,Steam Trading Cards,100,,,Mixed
Madden NFL 23,659000,win,,"18 Aug, 2022",Strategy,no,Square Enix,Electronic Arts,In-App Purchases,3892,50.0,,Mixed
Ultimate Epic Battle Simulator 2,108999,win,,"12 May, 2022",Casual,no,"TOSE CO., LTD.",Brilliant Game Studios,Steam Cloud,3279,20.0,,Mostly Positive
American Truck Simulator - Montana,99900,mac,,"4 Aug, 2022",Free to Play,yes,Bulwark Studios,SCS Software,Remote Play on Phone,388,,,Very Positive
Euro Truck Simulator 2 - Scandinavia,149900,linux,,"14 May, 2015",Indie,yes,NetEase Games,SCS Software,Remote Play on Tablet,4458,0.2,,Very Positive
The Sims™ 4 Island Living,479000,win,,"18 Jun, 2020",Indie,yes,Maddy Makes Games Inc.,Electronic Arts,Remote Play on TV,95,18.0,,Mixed
Stellaris: Toxoids Species Pack,90999,mac,,"20 Sep, 2022",Simulation,yes,"Extremely OK Games, Ltd.",Paradox Interactive,Remote Play Together,223,10.0,,Very Positive
112 Operator,0,win,-80%,"23 Apr, 2020",Strategy,no,Egosoft,Games Operators,Single-player,3800,8.0,73,Very Positive
Mini Motorways,69999,win,,"20 Jul, 2021",Action,no,PikPok,Dinosaur Polo Club,Steam Achievements,15486,,87,Overwhelmingly Positive
Stoneshard,199000,win,,"6 Feb, 2020",Casual,no,Firaxis Games,HypeTrain Digital,Steam Cloud,22891,0.5,,Mostly Positive
SHENZHEN I/O,130999,win,,"17 Nov, 2016",Indie,no,Aspyr (Mac),Zachtronics,Single-player,2962,0.45,,Very Positive
ONE PIECE ODYSSEY,599000,mac,,"12 Jan, 2023",RPG,no,Aspyr (Linux),Bandai Namco Entertainment Inc.,Online PvP,1519,35.0,77,Very Positive
Stacklands,39999,linux,,"8 Apr, 2022",Strategy,no,Jaspel,Sokpop Collective,LAN PvP,18568,,,Overwhelmingly Positive
Cities: Skylines - Sunset Harbor,130999,win,,"26 Mar, 2020",Action,yes,Squad,Paradox Interactive,Online Co-op,531,4.0,,Mixed
HUMANKIND™,499999,mac,,"17 Aug, 2021",Adventure,no,Foxy Voxel,SEGA,LAN Co-op,17716,25.0,,Mixed
War of Rights,437794,linux,,"3 Dec, 2018",Indie,no,"KOEI TECMO GAMES CO., LTD.",Campfire Games,Steam Achievements,8413,10.0,,Overwhelmingly Positive
TUNIC,245999,win,,"16 Mar, 2022",Simulation,no,Nolla Games,TUNIC Team,Steam Workshop,8092,2.0,85,Very Positive
Dark Deception Complete,0,mac,-50%,"29 Jan, 2019",Adventure,yes,Chicken Launcher,Glowstick Entertainment,Includes level editor,1000,12.0,,Very Positive
Crusader Kings II,0,linux,,"14 Feb, 2012",Casual,no,Dreamside Interactive,Paradox Interactive,Remote Play on Tablet,69250,,82,Very Positive
Cities: Skylines - Airports,114999,win,,"25 Jan, 2022",Casual,yes,Infinity Ward,Paradox Interactive,Single-player,565,4.0,,Mixed
Passpartout 2: The Lost Artist,206999,mac,,"4 Apr, 2023",Strategy,no,Triumph Studios,Flamebait Games,Steam Achievements,457,2.0,,Very Positive
Onmyoji,0,win,,"18 Apr, 2018",Action,no,Osumia Games,NetEase Games,Full controller support,2667,2.0,,Mixed
Rec Room,0,mac,,"2 Sep, 2021",Adventure,no,A.Y.std,Rec Room,Steam Trading Cards,51609,6.0,,Very Positive
Night of the Dead,119999,win,,"27 Aug, 2020",Indie,no,SCS Software,jacktostudios,Steam Workshop,7573,70.0,,Mostly Positive
BONEWORKS,245999,mac,,"10 Dec, 2019",Simulation,no,4A Games,Stress Level Zero,Steam Cloud,31535,20.0,72,Overwhelmingly Positive
Cities: Skylines - After Dark,148999,linux,,"24 Sep, 2015",Early Access,yes,Techland,Paradox Interactive,Single-player,669,1.0,,Very Positive
Cities: Skylines - Financial Districts,77999,win,,"13 Dec, 2022",Indie,yes,Camshaft Software Ltd,Paradox Interactive,Downloadable Content,137,4.0,,Mixed
The Guild 3,199999,win,,"14 Jun, 2022",Simulation,no,Ivory Tower,THQ Nordic,Steam Achievements,6006,8.0,65,Mostly Positive
Workers & Resources: Soviet Republic,159999,mac,,"15 Mar, 2019",Strategy,no,Ubisoft Pune,3Division,Full controller support,12075,,,Overwhelmingly Positive
